source,target,rho,p,n,source_domain,target_domain,q_fdr,abs_rho,cross_domain
LDL,PCT,0.18212466329942406,2.3454014564292923e-08,927,metabolic,inflammatory,1.1902912391378658e-07,0.18212466329942406,True
INS0,LDL,0.18186614171857973,1.3457295389636708e-09,1095,metabolic,metabolic,7.284882570923338e-09,0.18186614171857973,False
GLU0,PCT,0.1811335122784417,3.6245005176242645e-08,912,metabolic,inflammatory,1.7729484459704233e-07,0.1811335122784417,True
TCHOL,HDL,0.18103174947849354,8.236196920437124e-10,1134,metabolic,metabolic,4.51877831040199e-09,0.18103174947849354,False
HDL,MONO_ABS,-0.17886820898329092,6.58239608875945e-08,900,metabolic,inflammatory,3.071784841421077e-07,0.17886820898329092,True
TG,MONO_ABS,0.17832173642167948,7.226858343892516e-08,900,metabolic,inflammatory,3.334209645023138e-07,0.17832173642167948,True
RDW,PCT,0.1767675167853667,4.8864705379510984e-08,940,inflammatory,inflammatory,2.3068686493117978e-07,0.1767675167853667,False
SHBG,LYMPH_ABS,-0.17593692559087876,1.0827259517792077e-07,900,endocrine,inflammatory,4.939176813734363e-07,0.17593692559087876,True
DHEAS,HDL,-0.1754378419665775,2.856582417123921e-09,1131,endocrine,metabolic,1.5260163965162e-08,0.1754378419665775,True
DHEAS,INS0,0.16619029928862947,3.1733001327464037e-08,1095,endocrine,metabolic,1.5846013616089615e-07,0.16619029928862947,True
DHEAS,MONO_ABS,0.1656152213451983,5.766600050347751e-07,901,endocrine,inflammatory,2.5727907916936123e-06,0.1656152213451983,True
GLU0,GLU120,0.16473951541085116,3.200426395367853e-08,1114,metabolic,metabolic,1.5846013616089615e-07,0.16473951541085116,False
GLU0,WBC,0.16453770513118085,5.8469764051179e-07,912,metabolic,inflammatory,2.5802961092150734e-06,0.16453770513118085,True
TCHOL,PLT,0.1639424653980279,5.200558961370157e-07,927,metabolic,inflammatory,2.3460299314625375e-06,0.1639424653980279,True
LH,FT4,0.16273389658751553,3.775777585404576e-08,1130,endocrine,thyroid,1.8249591662788785e-07,0.16273389658751553,True
FSH,FT4,0.16220007819233964,4.1878280978245567e-08,1130,endocrine,thyroid,2.0003037737844354e-07,0.16220007819233964,True
LDL,WBC,0.15628247926673003,1.7419151379984532e-06,927,metabolic,inflammatory,7.366849437785125e-06,0.15628247926673003,True
PLT,RDW,0.15224090761073608,2.7486053116225257e-06,940,inflammatory,inflammatory,1.1504471716688097e-05,0.15224090761073608,False
GLU120,PCT,0.15161451847030463,4.297282626794051e-06,911,metabolic,inflammatory,1.7803028025289638e-05,0.15161451847030463,True
