source,target,weight,abs_weight,sign,source_domain,target_domain,cross_domain
TG_HDL_ratio,MLR,-0.0037929672571377472,0.0037929672571377472,negative,metabolic,inflammatory,True
CORT_8,TCHOL,0.0034676056567802837,0.0034676056567802837,positive,endocrine,metabolic,True
GLU120,FT4,-0.003440134145403162,0.003440134145403162,negative,metabolic,thyroid,True
QUICKI,TyG,-0.003314816805121319,0.003314816805121319,negative,metabolic,metabolic,False
GLU120,LYMPH_ABS,0.003183316877950734,0.003183316877950734,positive,metabolic,inflammatory,True
INS0,PCT,0.003158078424527278,0.003158078424527278,positive,metabolic,inflammatory,True
SHBG,GLU0,0.0031551141386954324,0.0031551141386954324,positive,endocrine,metabolic,True
GLU0,MLR,0.003037064378896536,0.003037064378896536,positive,metabolic,inflammatory,True
AMH,PLR,-0.0029535919265941076,0.0029535919265941076,negative,endocrine,inflammatory,True
TG,LYMPH_ABS,0.0029327234191935314,0.0029327234191935314,positive,metabolic,inflammatory,True
GLU0,PDW,0.0025848952154507603,0.0025848952154507603,positive,metabolic,inflammatory,True
FSH,TG_HDL_ratio,-0.0025830969676287237,0.0025830969676287237,negative,endocrine,metabolic,True
LH,ATA_TG,0.0025821285783101085,0.0025821285783101085,positive,endocrine,thyroid,True
PCT,FT4,0.002545124183218691,0.002545124183218691,positive,inflammatory,thyroid,True
ANDRO,ATA_TPO,0.0024246563202510096,0.0024246563202510096,positive,endocrine,thyroid,True
RDW,TSH,0.0024089627702145533,0.0024089627702145533,positive,inflammatory,thyroid,True
TCHOL,TyG,0.0023636490080746727,0.0023636490080746727,positive,metabolic,metabolic,False
GLU120,PDW,0.0023229692906468237,0.0023229692906468237,positive,metabolic,inflammatory,True
PCT,NLR,-0.0022829175260569577,0.0022829175260569577,negative,inflammatory,inflammatory,False
FT4,ATA_TPO,0.002217968909122496,0.002217968909122496,positive,thyroid,thyroid,False
TSH,TyG,0.0020470584702625334,0.0020470584702625334,positive,thyroid,metabolic,True
QUICKI,SII,-0.0016804701424178456,0.0016804701424178456,negative,metabolic,inflammatory,True
CORT_ratio_23_8,NLR,0.0016336063523811144,0.0016336063523811144,positive,endocrine,inflammatory,True
TG,PLT,0.0015971308612647884,0.0015971308612647884,positive,metabolic,inflammatory,True
CORT_23,ATA_TPO,-0.001571141174977215,0.001571141174977215,negative,endocrine,thyroid,True
PDW,TSH,0.0014911258259013556,0.0014911258259013556,positive,inflammatory,thyroid,True
TSH,HOMA_IR,0.0012979847204134293,0.0012979847204134293,positive,thyroid,metabolic,True
HDL,TyG,0.0012480282361233593,0.0012480282361233593,positive,metabolic,metabolic,False
SHBG,RDW,0.001206538018295457,0.001206538018295457,positive,endocrine,inflammatory,True
AMH,LYMPH_ABS,0.0010665443257244517,0.0010665443257244517,positive,endocrine,inflammatory,True
GLU0,MPV,0.0009732023193248663,0.0009732023193248663,positive,metabolic,inflammatory,True
TCHOL,MPV,-0.0008913910443794214,0.0008913910443794214,negative,metabolic,inflammatory,True
GLU120,non_HDL,0.0008401890071738866,0.0008401890071738866,positive,metabolic,metabolic,False
GLU120,RDW,-0.0007840324781835213,0.0007840324781835213,negative,metabolic,inflammatory,True
LH,QUICKI,-0.0006800653474684446,0.0006800653474684446,negative,endocrine,metabolic,True
INS0,MONO_ABS,0.0006574673366711867,0.0006574673366711867,positive,metabolic,inflammatory,True
PCT,TyG,0.00048636053368896035,0.00048636053368896035,positive,inflammatory,metabolic,True
AMH,MPV,-0.00021629191719105097,0.00021629191719105097,negative,endocrine,inflammatory,True
ANDRO,GLU0,-0.000213549164428327,0.000213549164428327,negative,endocrine,metabolic,True
INS0,LYMPH_ABS,7.23402622460183e-05,7.23402622460183e-05,positive,metabolic,inflammatory,True
ANDRO,TG_HDL_ratio,5.148881817181381e-05,5.148881817181381e-05,positive,endocrine,metabolic,True
